"date","month","type","total_in_tons"
"2019-02-28T00:00:00.000","February","Scrap Metal","332"
"2019-02-28T00:00:00.000","February","Bottle Bill","317"
"2019-02-28T00:00:00.000","February","Curb Recycling","1309"
"2019-01-31T00:00:00.000","January","Curb Recycling","1229"
"2019-01-31T00:00:00.000","January","Misc. Garbage","246"
"2019-01-31T00:00:00.000","January","Curb Garbage","5688"
"2019-01-31T00:00:00.000","January","E-Waste","50"
"2019-01-31T00:00:00.000","January","Haz Waste","0"
"2019-01-31T00:00:00.000","January","Yard Waste","436"
"2019-01-31T00:00:00.000","January","Recycled Tires","10"
"2019-01-31T00:00:00.000","January","Scrap Metal","332"
"2019-01-31T00:00:00.000","January","Bottle Bill","317"
"2019-01-31T00:00:00.000","January","Misc. Recycling","10"
"2018-12-31T00:00:00.000","December","Curb Recycling","1473"
"2018-12-31T00:00:00.000","December","Misc. Garbage","376"
"2018-12-31T00:00:00.000","December","Curb Garbage","6524"
"2018-12-31T00:00:00.000","December","E-Waste","27"
"2018-12-31T00:00:00.000","December","Haz Waste","0"
"2018-12-31T00:00:00.000","December","Yard Waste","8000"
"2018-12-31T00:00:00.000","December","Recycled Tires","10"
"2018-12-31T00:00:00.000","December","Scrap Metal","732"
"2018-12-31T00:00:00.000","December","Bottle Bill","317"
"2018-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2018-11-30T00:00:00.000","November","Misc. Recycling","10"
"2018-11-30T00:00:00.000","November","Misc. Garbage","468"
"2018-11-30T00:00:00.000","November","Curb Garbage","7680"
"2018-11-30T00:00:00.000","November","E-Waste","28"
"2018-11-30T00:00:00.000","November","Haz Waste","0"
"2018-11-30T00:00:00.000","November","Yard Waste","1374"
"2018-11-30T00:00:00.000","November","Recycled Tires","20"
"2018-11-30T00:00:00.000","November","Scrap Metal","332"
"2018-11-30T00:00:00.000","November","Bottle Bill","317"
"2018-11-30T00:00:00.000","November","Curb Recycling","1459"
"2018-10-31T00:00:00.000","October","Misc. Recycling","10"
"2018-10-31T00:00:00.000","October","Misc. Garbage","1460"
"2018-10-31T00:00:00.000","October","Curb Garbage","7663"
"2018-10-31T00:00:00.000","October","E-Waste","33"
"2018-10-31T00:00:00.000","October","Haz Waste","10"
"2018-10-31T00:00:00.000","October","Yard Waste","505"
"2018-10-31T00:00:00.000","October","Recycled Tires","20"
"2018-10-31T00:00:00.000","October","Scrap Metal","332"
"2018-10-31T00:00:00.000","October","Bottle Bill","317"
"2018-10-31T00:00:00.000","October","Curb Recycling","1441"
"2018-09-30T00:00:00.000","September","Misc. Recycling","10"
"2018-09-30T00:00:00.000","September","Misc. Garbage","1552"
"2018-09-30T00:00:00.000","September","Curb Garbage","6932"
"2018-09-30T00:00:00.000","September","E-Waste","54"
"2018-09-30T00:00:00.000","September","Haz Waste","0"
"2018-09-30T00:00:00.000","September","Yard Waste","104"
"2018-09-30T00:00:00.000","September","Recycled Tires","35"
"2018-09-30T00:00:00.000","September","Scrap Metal","332"
"2018-09-30T00:00:00.000","September","Bottle Bill","317"
"2018-09-30T00:00:00.000","September","Curb Recycling","1300"
"2018-08-31T00:00:00.000","August","Yard Waste","120"
"2018-08-31T00:00:00.000","August","Misc. Garbage","2266"
"2018-08-31T00:00:00.000","August","Curb Garbage","8250"
"2018-08-31T00:00:00.000","August","E-Waste","39"
"2018-08-31T00:00:00.000","August","Haz Waste","0"
"2018-08-31T00:00:00.000","August","Recycled Tires","25"
"2018-08-31T00:00:00.000","August","Scrap Metal","332"
"2018-08-31T00:00:00.000","August","Bottle Bill","317"
"2018-08-31T00:00:00.000","August","Misc. Recycling","10"
"2018-08-31T00:00:00.000","August","Curb Recycling","1520"
"2018-07-30T00:00:00.000","July","Curb Recycling","1412"
"2018-07-30T00:00:00.000","July","Misc. Garbage","890"
"2018-07-30T00:00:00.000","July","Curb Garbage","7817"
"2018-07-30T00:00:00.000","July","E-Waste","55"
"2018-07-30T00:00:00.000","July","Haz Waste","10"
"2018-07-30T00:00:00.000","July","Yard Waste","32"
"2018-07-30T00:00:00.000","July","Recycled Tires","44"
"2018-07-30T00:00:00.000","July","Scrap Metal","332"
"2018-07-30T00:00:00.000","July","Bottle Bill","317"
"2018-07-30T00:00:00.000","July","Misc. Recycling","10"
"2018-06-30T00:00:00.000","June","Misc. Recycling","10"
"2018-06-30T00:00:00.000","June","Misc. Garbage","1859"
"2018-06-30T00:00:00.000","June","Curb Garbage","9223"
"2018-06-30T00:00:00.000","June","E-Waste","52"
"2018-06-30T00:00:00.000","June","Haz Waste","0"
"2018-06-30T00:00:00.000","June","Yard Waste","0"
"2018-06-30T00:00:00.000","June","Recycled Tires","19"
"2018-06-30T00:00:00.000","June","Scrap Metal","332"
"2018-06-30T00:00:00.000","June","Bottle Bill","317"
"2018-06-30T00:00:00.000","June","Curb Recycling","1446"
"2018-05-31T00:00:00.000","May","Misc. Recycling","10"
"2018-05-31T00:00:00.000","May","Misc. Garbage","2789"
"2018-05-31T00:00:00.000","May","Curb Garbage","8894"
"2018-05-31T00:00:00.000","May","E-Waste","32"
"2018-05-31T00:00:00.000","May","Haz Waste","0"
"2018-05-31T00:00:00.000","May","Yard Waste","0"
"2018-05-31T00:00:00.000","May","Recycled Tires","23"
"2018-05-31T00:00:00.000","May","Scrap Metal","332"
"2018-05-31T00:00:00.000","May","Bottle Bill","317"
"2018-05-31T00:00:00.000","May","Curb Recycling","1562"
"2018-04-30T00:00:00.000","April","Bottle Bill","317"
"2018-04-30T00:00:00.000","April","Misc. Garbage","2227"
"2018-04-30T00:00:00.000","April","Curb Garbage","7161"
"2018-04-30T00:00:00.000","April","E-Waste","22"
"2018-04-30T00:00:00.000","April","Haz Waste","0"
"2018-04-30T00:00:00.000","April","Curb Recycling","1351"
"2018-04-30T00:00:00.000","April","Yard Waste","0"
"2018-04-30T00:00:00.000","April","Recycled Tires","26"
"2018-04-30T00:00:00.000","April","Scrap Metal","332"
"2018-04-30T00:00:00.000","April","Misc. Recycling","10"
"2018-03-31T00:00:00.000","March","Yard Waste","1398"
"2018-03-31T00:00:00.000","March","Misc. Garbage","648"
"2018-03-31T00:00:00.000","March","Curb Garbage","6513"
"2018-03-31T00:00:00.000","March","E-Waste","37"
"2018-03-31T00:00:00.000","March","Haz Waste","0"
"2018-03-31T00:00:00.000","March","Recycled Tires","27"
"2018-03-31T00:00:00.000","March","Scrap Metal","332"
"2018-03-31T00:00:00.000","March","Bottle Bill","317"
"2018-03-31T00:00:00.000","March","Misc. Recycling","10"
"2018-03-31T00:00:00.000","March","Curb Recycling","1330"
"2018-02-28T00:00:00.000","February","Curb Recycling","1216"
"2018-02-28T00:00:00.000","February","Misc. Garbage","545"
"2018-02-28T00:00:00.000","February","Curb Garbage","5743"
"2018-02-28T00:00:00.000","February","E-Waste","19"
"2018-02-28T00:00:00.000","February","Haz Waste","0"
"2018-02-28T00:00:00.000","February","Yard Waste","657"
"2018-02-28T00:00:00.000","February","Recycled Tires","27"
"2018-02-28T00:00:00.000","February","Scrap Metal","332"
"2018-02-28T00:00:00.000","February","Bottle Bill","317"
"2018-02-28T00:00:00.000","February","Misc. Recycling","10"
"2018-01-31T00:00:00.000","January","Misc. Recycling","10"
"2018-01-31T00:00:00.000","January","Misc. Garbage","1223"
"2018-01-31T00:00:00.000","January","Curb Garbage","6762"
"2018-01-31T00:00:00.000","January","E-Waste","12"
"2018-01-31T00:00:00.000","January","Haz Waste","0"
"2018-01-31T00:00:00.000","January","Yard Waste","455"
"2018-01-31T00:00:00.000","January","Recycled Tires","15"
"2018-01-31T00:00:00.000","January","Scrap Metal","332"
"2018-01-31T00:00:00.000","January","Bottle Bill","317"
"2018-01-31T00:00:00.000","January","Curb Recycling","1441"
"2017-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2017-12-31T00:00:00.000","December","Misc. Garbage","302"
"2017-12-31T00:00:00.000","December","Curb Garbage","6401"
"2017-12-31T00:00:00.000","December","E-Waste","29"
"2017-12-31T00:00:00.000","December","Haz Waste","0"
"2017-12-31T00:00:00.000","December","Yard Waste","2300"
"2017-12-31T00:00:00.000","December","Recycled Tires","2"
"2017-12-31T00:00:00.000","December","Scrap Metal","331"
"2017-12-31T00:00:00.000","December","Bottle Bill","317"
"2017-12-31T00:00:00.000","December","Curb Recycling","1408"
"2017-11-30T00:00:00.000","November","Curb Recycling","1502"
"2017-11-30T00:00:00.000","November","Misc. Garbage","434"
"2017-11-30T00:00:00.000","November","Curb Garbage","7994"
"2017-11-30T00:00:00.000","November","E-Waste","23"
"2017-11-30T00:00:00.000","November","Haz Waste","0"
"2017-11-30T00:00:00.000","November","Yard Waste","2300"
"2017-11-30T00:00:00.000","November","Recycled Tires","11"
"2017-11-30T00:00:00.000","November","Scrap Metal","331"
"2017-11-30T00:00:00.000","November","Bottle Bill","317"
"2017-11-30T00:00:00.000","November","Misc. Recycling","10"
"2017-10-31T00:00:00.000","October","Curb Recycling","1337"
"2017-10-31T00:00:00.000","October","Misc. Garbage","1209"
"2017-10-31T00:00:00.000","October","Curb Garbage","7692"
"2017-10-31T00:00:00.000","October","E-Waste","36"
"2017-10-31T00:00:00.000","October","Haz Waste","0"
"2017-10-31T00:00:00.000","October","Yard Waste","2300"
"2017-10-31T00:00:00.000","October","Recycled Tires","37"
"2017-10-31T00:00:00.000","October","Scrap Metal","331"
"2017-10-31T00:00:00.000","October","Bottle Bill","317"
"2017-10-31T00:00:00.000","October","Misc. Recycling","10"
"2017-09-30T00:00:00.000","September","Misc. Recycling","10"
"2017-09-30T00:00:00.000","September","Misc. Garbage","1618"
"2017-09-30T00:00:00.000","September","Curb Garbage","7301"
"2017-09-30T00:00:00.000","September","E-Waste","33"
"2017-09-30T00:00:00.000","September","Haz Waste","5"
"2017-09-30T00:00:00.000","September","Yard Waste","2000"
"2017-09-30T00:00:00.000","September","Recycled Tires","37"
"2017-09-30T00:00:00.000","September","Scrap Metal","331"
"2017-09-30T00:00:00.000","September","Bottle Bill","317"
"2017-09-30T00:00:00.000","September","Curb Recycling","1315"
"2017-08-31T00:00:00.000","August","Misc. Recycling","10"
"2017-08-31T00:00:00.000","August","Misc. Garbage","2426"
"2017-08-31T00:00:00.000","August","Curb Garbage","8487"
"2017-08-31T00:00:00.000","August","E-Waste","44"
"2017-08-31T00:00:00.000","August","Haz Waste","0"
"2017-08-31T00:00:00.000","August","Yard Waste","500"
"2017-08-31T00:00:00.000","August","Recycled Tires","25"
"2017-08-31T00:00:00.000","August","Scrap Metal","331"
"2017-08-31T00:00:00.000","August","Bottle Bill","317"
"2017-08-31T00:00:00.000","August","Curb Recycling","1450"
"2017-07-31T00:00:00.000","July","Misc. Recycling","10"
"2017-07-31T00:00:00.000","July","Misc. Garbage","1073"
"2017-07-31T00:00:00.000","July","Curb Garbage","8087"
"2017-07-31T00:00:00.000","July","E-Waste","39"
"2017-07-31T00:00:00.000","July","Haz Waste","12"
"2017-07-31T00:00:00.000","July","Yard Waste","500"
"2017-07-31T00:00:00.000","July","Recycled Tires","39"
"2017-07-31T00:00:00.000","July","Scrap Metal","331"
"2017-07-31T00:00:00.000","July","Bottle Bill","317"
"2017-07-31T00:00:00.000","July","Curb Recycling","1383"
"2017-06-30T00:00:00.000","June","Curb Recycling","1468"
"2017-06-30T00:00:00.000","June","Misc. Garbage","1807"
"2017-06-30T00:00:00.000","June","Curb Garbage","8582"
"2017-06-30T00:00:00.000","June","E-Waste","47"
"2017-06-30T00:00:00.000","June","Haz Waste","0"
"2017-06-30T00:00:00.000","June","Yard Waste","500"
"2017-06-30T00:00:00.000","June","Recycled Tires","13"
"2017-06-30T00:00:00.000","June","Scrap Metal","331"
"2017-06-30T00:00:00.000","June","Bottle Bill","317"
"2017-06-30T00:00:00.000","June","Misc. Recycling","10"
"2017-05-31T00:00:00.000","May","Curb Recycling","1514"
"2017-05-31T00:00:00.000","May","Misc. Garbage","2885"
"2017-05-31T00:00:00.000","May","Curb Garbage","8661"
"2017-05-31T00:00:00.000","May","E-Waste","37"
"2017-05-31T00:00:00.000","May","Haz Waste","0"
"2017-05-31T00:00:00.000","May","Yard Waste","500"
"2017-05-31T00:00:00.000","May","Recycled Tires","32"
"2017-05-31T00:00:00.000","May","Scrap Metal","331"
"2017-05-31T00:00:00.000","May","Bottle Bill","317"
"2017-05-31T00:00:00.000","May","Misc. Recycling","10"
"2017-04-30T00:00:00.000","April","Misc. Recycling","10"
"2017-04-30T00:00:00.000","April","Misc. Garbage","1598"
"2017-04-30T00:00:00.000","April","Curb Garbage","7208"
"2017-04-30T00:00:00.000","April","E-Waste","28"
"2017-04-30T00:00:00.000","April","Haz Waste","0"
"2017-04-30T00:00:00.000","April","Yard Waste","0"
"2017-04-30T00:00:00.000","April","Recycled Tires","30"
"2017-04-30T00:00:00.000","April","Scrap Metal","332"
"2017-04-30T00:00:00.000","April","Bottle Bill","317"
"2017-04-30T00:00:00.000","April","Curb Recycling","1303"
"2017-03-31T00:00:00.000","March","Misc. Recycling","10"
"2017-03-31T00:00:00.000","March","Misc. Garbage","1175"
"2017-03-31T00:00:00.000","March","Curb Garbage","6629"
"2017-03-31T00:00:00.000","March","E-Waste","19"
"2017-03-31T00:00:00.000","March","Haz Waste","0"
"2017-03-31T00:00:00.000","March","Yard Waste","0"
"2017-03-31T00:00:00.000","March","Recycled Tires","24"
"2017-03-31T00:00:00.000","March","Scrap Metal","332"
"2017-03-31T00:00:00.000","March","Bottle Bill","317"
"2017-03-31T00:00:00.000","March","Curb Recycling","1363"
"2017-02-28T00:00:00.000","February","Misc. Recycling","10"
"2017-02-28T00:00:00.000","February","Misc. Garbage","884"
"2017-02-28T00:00:00.000","February","Curb Garbage","5659"
"2017-02-28T00:00:00.000","February","E-Waste","64"
"2017-02-28T00:00:00.000","February","Haz Waste","0"
"2017-02-28T00:00:00.000","February","Yard Waste","0"
"2017-02-28T00:00:00.000","February","Recycled Tires","28"
"2017-02-28T00:00:00.000","February","Scrap Metal","332"
"2017-02-28T00:00:00.000","February","Bottle Bill","317"
"2017-02-28T00:00:00.000","February","Curb Recycling","1131"
"2017-01-31T00:00:00.000","January","Yard Waste","500"
"2017-01-31T00:00:00.000","January","Misc. Garbage","589"
"2017-01-31T00:00:00.000","January","Curb Garbage","6549"
"2017-01-31T00:00:00.000","January","E-Waste","36"
"2017-01-31T00:00:00.000","January","Haz Waste","0"
"2017-01-31T00:00:00.000","January","Recycled Tires","41"
"2017-01-31T00:00:00.000","January","Scrap Metal","332"
"2017-01-31T00:00:00.000","January","Bottle Bill","317"
"2017-01-31T00:00:00.000","January","Misc. Recycling","10"
"2017-01-31T00:00:00.000","January","Curb Recycling","1329"
"2016-12-31T00:00:00.000","December","Curb Recycling","1420"
"2016-12-31T00:00:00.000","December","Misc. Garbage","640"
"2016-12-31T00:00:00.000","December","Curb Garbage","6706"
"2016-12-31T00:00:00.000","December","E-Waste","48"
"2016-12-31T00:00:00.000","December","Haz Waste","0"
"2016-12-31T00:00:00.000","December","Yard Waste","10000"
"2016-12-31T00:00:00.000","December","Recycled Tires","5"
"2016-12-31T00:00:00.000","December","Scrap Metal","338"
"2016-12-31T00:00:00.000","December","Bottle Bill","317"
"2016-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2016-11-30T00:00:00.000","November","Misc. Recycling","10"
"2016-11-30T00:00:00.000","November","Misc. Garbage","672"
"2016-11-30T00:00:00.000","November","Curb Garbage","7301"
"2016-11-30T00:00:00.000","November","E-Waste","20"
"2016-11-30T00:00:00.000","November","Haz Waste","0"
"2016-11-30T00:00:00.000","November","Yard Waste","0"
"2016-11-30T00:00:00.000","November","Recycled Tires","16"
"2016-11-30T00:00:00.000","November","Scrap Metal","338"
"2016-11-30T00:00:00.000","November","Bottle Bill","317"
"2016-11-30T00:00:00.000","November","Curb Recycling","1341"
"2016-10-31T00:00:00.000","October","Misc. Recycling","10"
"2016-10-31T00:00:00.000","October","Misc. Garbage","2591"
"2016-10-31T00:00:00.000","October","Curb Garbage","8294"
"2016-10-31T00:00:00.000","October","E-Waste","47"
"2016-10-31T00:00:00.000","October","Haz Waste","7"
"2016-10-31T00:00:00.000","October","Yard Waste","0"
"2016-10-31T00:00:00.000","October","Recycled Tires","24"
"2016-10-31T00:00:00.000","October","Scrap Metal","338"
"2016-10-31T00:00:00.000","October","Bottle Bill","317"
"2016-10-31T00:00:00.000","October","Curb Recycling","1214"
"2016-09-30T00:00:00.000","September","Scrap Metal","338"
"2016-09-30T00:00:00.000","September","Misc. Garbage","1666"
"2016-09-30T00:00:00.000","September","Curb Garbage","7879"
"2016-09-30T00:00:00.000","September","E-Waste","64"
"2016-09-30T00:00:00.000","September","Haz Waste","0"
"2016-09-30T00:00:00.000","September","Misc. Recycling","10"
"2016-09-30T00:00:00.000","September","Curb Recycling","1336"
"2016-09-30T00:00:00.000","September","Yard Waste","0"
"2016-09-30T00:00:00.000","September","Recycled Tires","20"
"2016-09-30T00:00:00.000","September","Bottle Bill","317"
"2016-08-31T00:00:00.000","August","Bottle Bill","317"
"2016-08-31T00:00:00.000","August","Curb Recycling","1348"
"2016-08-31T00:00:00.000","August","Misc. Recycling","10"
"2016-08-31T00:00:00.000","August","Scrap Metal","338"
"2016-08-31T00:00:00.000","August","Recycled Tires","28"
"2016-08-31T00:00:00.000","August","Yard Waste","0"
"2016-08-31T00:00:00.000","August","Haz Waste","0"
"2016-08-31T00:00:00.000","August","E-Waste","30"
"2016-08-31T00:00:00.000","August","Curb Garbage","8096"
"2016-08-31T00:00:00.000","August","Misc. Garbage","2376"
"2016-07-31T00:00:00.000","July","Curb Garbage","7389"
"2016-07-31T00:00:00.000","July","E-Waste","39"
"2016-07-31T00:00:00.000","July","Haz Waste","0"
"2016-07-31T00:00:00.000","July","Yard Waste","0"
"2016-07-31T00:00:00.000","July","Misc. Garbage","857"
"2016-07-31T00:00:00.000","July","Recycled Tires","18"
"2016-07-31T00:00:00.000","July","Scrap Metal","338"
"2016-07-31T00:00:00.000","July","Bottle Bill","317"
"2016-07-31T00:00:00.000","July","Misc. Recycling","10"
"2016-07-31T00:00:00.000","July","Curb Recycling","1239"
"2016-06-30T00:00:00.000","June","Curb Recycling","1342"
"2016-06-30T00:00:00.000","June","Misc. Garbage","2135"
"2016-06-30T00:00:00.000","June","Curb Garbage","8271"
"2016-06-30T00:00:00.000","June","E-Waste","63"
"2016-06-30T00:00:00.000","June","Bottle Bill","317"
"2016-06-30T00:00:00.000","June","Haz Waste","12"
"2016-06-30T00:00:00.000","June","Yard Waste","0"
"2016-06-30T00:00:00.000","June","Recycled Tires","31"
"2016-06-30T00:00:00.000","June","Scrap Metal","338"
"2016-06-30T00:00:00.000","June","Misc. Recycling","10"
"2016-05-31T00:00:00.000","May","Misc. Garbage","3251"
"2016-05-31T00:00:00.000","May","Curb Garbage","8258"
"2016-05-31T00:00:00.000","May","E-Waste","61"
"2016-05-31T00:00:00.000","May","Haz Waste","0"
"2016-05-31T00:00:00.000","May","Yard Waste","0"
"2016-05-31T00:00:00.000","May","Recycled Tires","45"
"2016-05-31T00:00:00.000","May","Scrap Metal","338"
"2016-05-31T00:00:00.000","May","Bottle Bill","317"
"2016-05-31T00:00:00.000","May","Misc. Recycling","10"
"2016-05-31T00:00:00.000","May","Curb Recycling","1327"
"2016-04-30T00:00:00.000","April","Misc. Garbage","2643"
"2016-04-30T00:00:00.000","April","Curb Garbage","6941"
"2016-04-30T00:00:00.000","April","E-Waste","22"
"2016-04-30T00:00:00.000","April","Haz Waste","0"
"2016-04-30T00:00:00.000","April","Yard Waste","0"
"2016-04-30T00:00:00.000","April","Recycled Tires","7"
"2016-04-30T00:00:00.000","April","Scrap Metal","338"
"2016-04-30T00:00:00.000","April","Bottle Bill","317"
"2016-04-30T00:00:00.000","April","Misc. Recycling","10"
"2016-04-30T00:00:00.000","April","Curb Recycling","1229"
"2016-03-31T00:00:00.000","March","Recycled Tires","33"
"2016-03-31T00:00:00.000","March","Misc. Garbage","1328"
"2016-03-31T00:00:00.000","March","Curb Garbage","7004"
"2016-03-31T00:00:00.000","March","E-Waste","32"
"2016-03-31T00:00:00.000","March","Haz Waste","0"
"2016-03-31T00:00:00.000","March","Yard Waste","0"
"2016-03-31T00:00:00.000","March","Scrap Metal","338"
"2016-03-31T00:00:00.000","March","Bottle Bill","317"
"2016-03-31T00:00:00.000","March","Misc. Recycling","10"
"2016-03-31T00:00:00.000","March","Curb Recycling","1319"
"2016-02-28T00:00:00.000","February","Misc. Garbage","1026"
"2016-02-28T00:00:00.000","February","Curb Garbage","5573"
"2016-02-28T00:00:00.000","February","E-Waste","23"
"2016-02-28T00:00:00.000","February","Haz Waste","0"
"2016-02-28T00:00:00.000","February","Yard Waste","965"
"2016-02-28T00:00:00.000","February","Recycled Tires","17"
"2016-02-28T00:00:00.000","February","Scrap Metal","338"
"2016-02-28T00:00:00.000","February","Bottle Bill","317"
"2016-02-28T00:00:00.000","February","Misc. Recycling","10"
"2016-02-28T00:00:00.000","February","Curb Recycling","1164"
"2016-01-31T00:00:00.000","January","Misc. Garbage","658"
"2016-01-31T00:00:00.000","January","Curb Garbage","5613"
"2016-01-31T00:00:00.000","January","E-Waste","33"
"2016-01-31T00:00:00.000","January","Haz Waste","0"
"2016-01-31T00:00:00.000","January","Yard Waste","332"
"2016-01-31T00:00:00.000","January","Recycled Tires","12"
"2016-01-31T00:00:00.000","January","Scrap Metal","338"
"2016-01-31T00:00:00.000","January","Bottle Bill","317"
"2016-01-31T00:00:00.000","January","Misc. Recycling","10"
"2016-01-31T00:00:00.000","January","Curb Recycling","1193"
"2015-12-31T00:00:00.000","December","Misc. Garbage","1679"
"2015-12-31T00:00:00.000","December","Curb Garbage","7332"
"2015-12-31T00:00:00.000","December","E-Waste","46"
"2015-12-31T00:00:00.000","December","Haz Waste","0"
"2015-12-31T00:00:00.000","December","Yard Waste","10500"
"2015-12-31T00:00:00.000","December","Recycled Tires","25"
"2015-12-31T00:00:00.000","December","Scrap Metal","444"
"2015-12-31T00:00:00.000","December","Bottle Bill","317"
"2015-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2015-12-31T00:00:00.000","December","Curb Recycling","1477"
"2015-11-30T00:00:00.000","November","Misc. Garbage","1150"
"2015-11-30T00:00:00.000","November","Curb Garbage","7073"
"2015-11-30T00:00:00.000","November","E-Waste","22"
"2015-11-30T00:00:00.000","November","Haz Waste","0"
"2015-11-30T00:00:00.000","November","Yard Waste","255"
"2015-11-30T00:00:00.000","November","Recycled Tires","7"
"2015-11-30T00:00:00.000","November","Scrap Metal","336"
"2015-11-30T00:00:00.000","November","Bottle Bill","317"
"2015-11-30T00:00:00.000","November","Misc. Recycling","10"
"2015-11-30T00:00:00.000","November","Curb Recycling","1277"
"2015-10-31T00:00:00.000","October","Recycled Tires","25"
"2015-10-31T00:00:00.000","October","Misc. Garbage","1742"
"2015-10-31T00:00:00.000","October","Curb Garbage","7488"
"2015-10-31T00:00:00.000","October","E-Waste","33"
"2015-10-31T00:00:00.000","October","Haz Waste","12"
"2015-10-31T00:00:00.000","October","Yard Waste","678"
"2015-10-31T00:00:00.000","October","Scrap Metal","336"
"2015-10-31T00:00:00.000","October","Bottle Bill","317"
"2015-10-31T00:00:00.000","October","Misc. Recycling","10"
"2015-10-31T00:00:00.000","October","Curb Recycling","1236"
"2015-09-30T00:00:00.000","September","Curb Recycling","1260"
"2015-09-30T00:00:00.000","September","Misc. Garbage","2068"
"2015-09-30T00:00:00.000","September","Curb Garbage","7806"
"2015-09-30T00:00:00.000","September","E-Waste","36"
"2015-09-30T00:00:00.000","September","Haz Waste","0"
"2015-09-30T00:00:00.000","September","Yard Waste","0"
"2015-09-30T00:00:00.000","September","Recycled Tires","33"
"2015-09-30T00:00:00.000","September","Scrap Metal","336"
"2015-09-30T00:00:00.000","September","Bottle Bill","317"
"2015-09-30T00:00:00.000","September","Misc. Recycling","10"
"2015-08-31T00:00:00.000","August","Misc. Recycling","10"
"2015-08-31T00:00:00.000","August","Misc. Garbage","3325"
"2015-08-31T00:00:00.000","August","Curb Garbage","7626"
"2015-08-31T00:00:00.000","August","E-Waste","40"
"2015-08-31T00:00:00.000","August","Haz Waste","0"
"2015-08-31T00:00:00.000","August","Yard Waste","0"
"2015-08-31T00:00:00.000","August","Recycled Tires","22"
"2015-08-31T00:00:00.000","August","Scrap Metal","336"
"2015-08-31T00:00:00.000","August","Bottle Bill","317"
"2015-08-31T00:00:00.000","August","Curb Recycling","1226"
"2015-07-31T00:00:00.000","July","Misc. Recycling","2"
"2015-07-31T00:00:00.000","July","Misc. Garbage","2023"
"2015-07-31T00:00:00.000","July","Curb Garbage","9001"
"2015-07-31T00:00:00.000","July","E-Waste","59"
"2015-07-31T00:00:00.000","July","Haz Waste","12"
"2015-07-31T00:00:00.000","July","Yard Waste","0"
"2015-07-31T00:00:00.000","July","Recycled Tires","32"
"2015-07-31T00:00:00.000","July","Scrap Metal","336"
"2015-07-31T00:00:00.000","July","Bottle Bill","317"
"2015-07-31T00:00:00.000","July","Curb Recycling","1343"
"2015-06-30T00:00:00.000","June","Misc. Recycling","2"
"2015-06-30T00:00:00.000","June","Misc. Garbage","3202"
"2015-06-30T00:00:00.000","June","Curb Garbage","8908"
"2015-06-30T00:00:00.000","June","E-Waste","47"
"2015-06-30T00:00:00.000","June","Haz Waste","0"
"2015-06-30T00:00:00.000","June","Yard Waste","0"
"2015-06-30T00:00:00.000","June","Recycled Tires","32"
"2015-06-30T00:00:00.000","June","Scrap Metal","336"
"2015-06-30T00:00:00.000","June","Bottle Bill","317"
"2015-06-30T00:00:00.000","June","Curb Recycling","1349"
"2015-05-31T00:00:00.000","May","Yard Waste","0"
"2015-05-31T00:00:00.000","May","Misc. Garbage","4041"
"2015-05-31T00:00:00.000","May","Curb Garbage","8522"
"2015-05-31T00:00:00.000","May","E-Waste","49"
"2015-05-31T00:00:00.000","May","Haz Waste","0"
"2015-05-31T00:00:00.000","May","Recycled Tires","47"
"2015-05-31T00:00:00.000","May","Scrap Metal","336"
"2015-05-31T00:00:00.000","May","Bottle Bill","317"
"2015-05-31T00:00:00.000","May","Misc. Recycling","2"
"2015-05-31T00:00:00.000","May","Curb Recycling","1276"
"2015-04-30T00:00:00.000","April","Curb Recycling","1313"
"2015-04-30T00:00:00.000","April","Misc. Garbage","4230"
"2015-04-30T00:00:00.000","April","Curb Garbage","8236"
"2015-04-30T00:00:00.000","April","E-Waste","50"
"2015-04-30T00:00:00.000","April","Haz Waste","0"
"2015-04-30T00:00:00.000","April","Yard Waste","0"
"2015-04-30T00:00:00.000","April","Recycled Tires","33"
"2015-04-30T00:00:00.000","April","Scrap Metal","336"
"2015-04-30T00:00:00.000","April","Bottle Bill","317"
"2015-04-30T00:00:00.000","April","Misc. Recycling","4"
"2015-03-31T00:00:00.000","March","Misc. Recycling","3"
"2015-03-31T00:00:00.000","March","Misc. Garbage","1140"
"2015-03-31T00:00:00.000","March","Curb Garbage","6399"
"2015-03-31T00:00:00.000","March","E-Waste","20"
"2015-03-31T00:00:00.000","March","Haz Waste","0"
"2015-03-31T00:00:00.000","March","Yard Waste","0"
"2015-03-31T00:00:00.000","March","Recycled Tires","12"
"2015-03-31T00:00:00.000","March","Scrap Metal","336"
"2015-03-31T00:00:00.000","March","Bottle Bill","317"
"2015-03-31T00:00:00.000","March","Curb Recycling","1230"
"2015-02-28T00:00:00.000","February","Misc. Recycling","3"
"2015-02-28T00:00:00.000","February","Misc. Garbage","504"
"2015-02-28T00:00:00.000","February","Curb Garbage","4819"
"2015-02-28T00:00:00.000","February","E-Waste","9"
"2015-02-28T00:00:00.000","February","Haz Waste","0"
"2015-02-28T00:00:00.000","February","Yard Waste","0"
"2015-02-28T00:00:00.000","February","Recycled Tires","3"
